Title,Column,Labels,Assignees,Initiative,Milestone
SLF Deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
GC Agility Product Management Deck,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Communications and Awareness Raising
Check with Business Arch on fit within EA,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Find a partner from TMB for UX research in IITB,Done Enough,,ElminaIusifova,,"UX Assessment and Framework  "
Book status update meeting with EPMO,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Book status update meeting with Job Bank,Done Enough,Initiative: Product Management,remyb2canada,,Product Mgt - Produce Framework
Conversation with DG for next year's focus,Done Enough,,,,Ongoing Advice and Unplanned Work
Periodic meetings with DG / Exec-Dir (like before) - less proxies for comms,Done Enough,,,,Ongoing Advice and Unplanned Work
Update Team's Communication Strategy,Done Enough,Communications,"ElminaIusifova, LeighGardner",,Our Team Continuous Improvement and Administration
FY 2021-2023 Workplan and New Strategy Service,Done Enough,Idea,philipe-girard,,Our Team Continuous Improvement and Administration
Discuss HR revamp with Leigh,Done Enough,,philipe-girard,,IITB Diagnostic Study 2021
Blog post about the pilot,Done Enough,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 2. Operations
Blog - Create Working in the Open post with maths on Why?,Done Enough,Blog,,,
Comms Strategy To Promote Opening Up of Existing Docs,Done Enough,,,,
Guide for writing blog posts,Done Enough,Website,,,
Blog - Blitz Meetings,Done Enough,Blog,,,
Blog - What is Agora OSS?,Done Enough,Blog,,,
Verify if there are any legal/procurement issues with openly sharing the software assessments,Done Enough,Initiative: Software Assessment,,,Sharing Software Assessment Pilot - 1. Planning
Close out tweet,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Change the auto-response message on the micro-acquisitions email account,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
Brainstorm with the team for how to include security documents,Done Enough,Initiative: Software Assessment,RachelMuston,,Sharing Software Assessment Pilot - 1. Planning
Research and Planning,Done Enough,,RachelMuston,,Organizational Performance Measurement
update the 'readme' text on the MA repo,Done Enough,Initiative: Micro-acquisition,RachelMuston,,Micro-acquisitions pilot: Closeout
